"LocalityName3","Treatment","Subplot","Moss_depth","CCI","UCI","Soil_temp","avenellaBM","shrubBM","total_SR","moss_SR","vasc_SR","simpsons_moss","simpsons_vasc","shannon_vasc","shannon_moss"
"namdalseid_1kub","Open plots",1,0.625,78.01,1.07487462235784,10.6135642655367,44.8687875,0,13,1,12,0,0.67756859289165,1.32334118874163,0
"namdalseid_1kub","Open plots",2,0,0.32,1.91535937366085,12.8006942090395,78.4236,0,8,3,5,0.56,0.0419165957242298,0.103503688794813,0.950270539233235
"namdalseid_1kub","Open plots",3,4.28571428571429,7.97,-0.272861175214071,11.6855515536723,14.296625,81.63213125,11,5,6,0.666666666666667,0.465887171156369,0.925210923642566,1.25783890554366
"namdalseid_1kub","Open plots",4,0.5,0,2.25811402255187,12.7138262711864,29.9555375,5.93633125,12,3,9,0.612244897959184,0.541296100875706,1.10773764651836,1.00424247305408
"namdalseid_1kub","Open plots",5,2.57142857142857,0.1425,-0.064462664492213,12.098125,27.34571875,24.53885625,23,11,12,0.840909090909091,0.691798134236203,1.33268823644196,2.08311510562037
"namdalseid_1kub","Open plots",6,0.8125,30.1875,2.57107004637669,11.6588891242938,79.54209375,0,11,2,9,0.244897959183674,0.440165804642286,0.984527523230383,0.410116318288409
"namdalseid_1kub","Open plots",7,9.25,35.875,1.70374570780844,11.2941377118644,18.7706,182.66031875,12,5,7,0.630202140309156,0.2439544921842,0.530106070794559,1.23958375746187
"namdalseid_1kub","Open plots",9,1.9375,1.1975,0.220647156189007,12.3743361581921,48.22426875,0,15,7,8,0.716553287981859,0,0,1.5249094676037
"namdalseid_1kub","Open plots",10,7.125,7.0875,0.163236517818376,12.0050529661017,42.6318,16.52329375,12,4,8,0.534979423868313,0.438521969387263,0.774707653527912,0.920413134453867
"namdalseid_1kub","Exclosed",1,8.33333333333333,78.27,0.323294235841272,10.4692372881356,10.5683125,98.94895625,18,6,12,0.757184506455644,0.472432633791164,0.934815259908728,1.54693707615951
"namdalseid_1kub","Exclosed",2,4.6875,0.5825,2.06488702330307,12.5916024011299,59.7820375,44.42708125,17,7,10,0.797144556811422,0.665601770791231,1.31208495018487,1.75711591166316
"namdalseid_1kub","Exclosed",3,1.375,61.8025,0.306856528490043,11.2457796610169,22.12608125,39.77645,18,5,13,0.559556786703601,0.826682489961498,2.00954314418795,1.12859629366222
"namdalseid_1kub","Exclosed",4,0.375,87.5675,-0.379448751598837,9.98250211864407,15.0422875,33.84011875,17,5,12,0.776859504132231,0.701348151440573,1.40847110980673,1.54659868604851
"namdalseid_1kub","Exclosed",5,0.4,0,2.43494422386021,11.7588559322034,21.0075875,0,14,5,9,0.745562130177515,0.584094971466898,0.984875278984254,1.47913280742964
"namdalseid_1kub","Exclosed",6,0.533333333333333,31.9425,0.46057084190688,10.544906779661,37.78499375,30.4751875,20,7,13,0.798185941043084,0.723638105647177,1.64139331062147,1.75192641005698
"namdalseid_1kub","Exclosed",7,1,38.03,2.28354987196512,10.8604498587571,32.56535625,19.888225,15,3,12,0.625850340136054,0.709342695681868,1.59314723300513,1.03536056068498
"namdalseid_1kub","Exclosed",8,1.125,73.815,1.01789856308656,11.1312874293785,21.38041875,90.93339375,13,4,9,0.685185185185185,0.76826014530086,1.57189773793626,1.22831035216088
"namdalseid_1kub","Exclosed",9,0.266666666666667,0.985,1.0661769739211,11.8095579096045,0,0,10,4,6,0.518518518518519,0.68189977097145,1.22011974093809,1.00271826451752
"namdalseid_1kub","Exclosed",10,1.0625,46.2875,0.701787635117346,10.537738700565,5.72150625,0,18,7,11,0.804709141274238,0.634576123841306,1.23917671617575,1.76792707553354
"verdal_2VB","Open plots",1,2.625,10.56,-1.00267674479301,11.511375,3.48451875,0,21,6,15,0.792899408284024,0.390103139922338,0.88862098994132,1.64913253036126
"verdal_2VB","Open plots",2,7.06666666666667,69.73,-0.143181180101494,11.0132478813559,14.66945625,58.378975,19,6,13,0.74819197896121,0.719810941028813,1.60151524447338,1.51855923774073
"verdal_2VB","Open plots",3,3.06666666666667,13.87,0.062191871723924,11.5935395480226,4.6030125,5.93633125,19,4,15,0.650390625,0.611965981241319,1.30154952041879,1.16510605593725
"verdal_2VB","Open plots",4,7,66.3475,0.062677778753293,10.312009180791,6.46716875,58.378975,18,6,12,0.774793388429752,0.700373361853998,1.45346585043323,1.59698539557946
"verdal_2VB","Open plots",6,3.6,19.525,-0.00624576086858441,10.6647252824859,3.1116875,0,22,6,16,0.718619869125521,0.728269725833208,1.73162890819518,1.40233442330877
"verdal_2VB","Open plots",7,7.1875,43.125,-0.413395895214917,10.8147026836158,12.43246875,0,18,7,11,0.827947060634041,0.612002128360135,1.21561116671254,1.8543182075384
"verdal_2VB","Open plots",8,1.8125,21.0325,-0.136112352409143,10.8744244350282,5.348675,0,16,8,8,0.661179698216735,0.245859437220944,0.569983882152535,1.53464335407349
"verdal_2VB","Open plots",9,1.6,33.765,0.0654424029760003,11.0248672316384,3.1116875,0,20,5,15,0.437673130193906,0.278540054246754,0.645188479341349,0.926907559390993
"verdal_2VB","Open plots",10,14.25,75.96,-1.51413578047785,10.7223029661017,12.0596375,0,20,8,12,0.779773156899811,0.68953352953361,1.26469698166671,1.69234350467981
"verdal_2VB","Exclosed",1,5.0625,53.225,-0.240081632623172,9.90445833333333,1.99319375,0,19,8,11,0.819526627218935,0.534707913321464,1.10072570843735,1.88388447966068
"verdal_2VB","Exclosed",2,5.9375,73.12,-1.58770499263586,10.1354519774011,3.85735,0,21,8,13,0.806692773228907,0.726640873245774,1.45045297470753,1.79146764517087
